ano_cal;fonte;base_legal;uf_beneficiario;munic_beneficiario;qtde_beneficiarios;vl_total_doacao;vl_total_dedutivel
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;BA;MATA DE SAO JOAO - BA;1;100000;100000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;BA;SALVADOR - BA;3;841548,17;841548,17
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;BA;VITORIA DA CONQUISTA - BA;1;1270;1270
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;CE;FORTALEZA - CE;2;398129,5;398129,5
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;CE;MORADA NOVA - CE;1;3000;3000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;DF;BRASILIA - DF;1;864080,37;864080,37
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;ES;ANCHIETA - ES;1;27000;27000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;ES;CARIACICA - ES;1;165283,42;165283,42
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;ES;COLATINA - ES;1;5900;5900
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;ES;IUNA - ES;1;1350;1350
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;ES;PIUMA - ES;1;8;8
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;ES;RIO BANANAL - ES;1;120;120
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;ES;SERRA - ES;1;69000;69000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;ES;SAO MATEUS - ES;1;52770,09;52770,09
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;ES;VILA VELHA - ES;1;81810;81810
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;ES;VITORIA - ES;2;155555;155555
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;GO;GOIANIA - GO;1;4050;4050
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;GO;SANTO ANTONIO DE GOIAS - GO;1;5000;5000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MA;SAO LUIS - MA;2;103480;103480
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;ABAETE - MG;1;1500;1500
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;ANDRADAS - MG;1;5450;5450
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;ARACUAI - MG;1;26504,75;26504,75
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;BELO HORIZONTE - MG;2;616273,8;616273,8
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;BETIM - MG;1;109500;109500
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;BOM DESPACHO - MG;1;25588;25588
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;CAMPO FLORIDO - MG;1;45700;45700
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;CARBONITA - MG;1;43034;43034
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;CARMO DO PARANAIBA - MG;1;50;50
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;CATAGUASES - MG;1;15865;15865
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;CLAUDIO - MG;1;730;730
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;CONTAGEM - MG;1;281312,28;281312,28
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;DELTA - MG;1;34000;34000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;DIVINOPOLIS - MG;1;19881;19881
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;ELOI MENDES - MG;1;341,57;341,57
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;FELISBURGO - MG;1;6000;6000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;GOVERNADOR VALADARES - MG;1;1676;1676
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;GRAO MOGOL - MG;1;1000;1000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;GUAXUPE - MG;1;10232,5;10232,5
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;IBIRITE - MG;1;100000;100000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;INHAUMA - MG;1;200;200
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;ITABIRA - MG;1;8730;8730
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;ITAGUARA - MG;1;1970;1970
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;ITAJUBA - MG;1;94550;94550
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;ITAUNA - MG;1;97541,97;97541,97
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;ITURAMA - MG;1;35800;35800
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;JABOTICATUBAS - MG;1;2707;2707
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;JANUARIA - MG;1;9311,12;9311,12
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;JOAO MONLEVADE - MG;1;16000;16000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;JUATUBA - MG;1;180110;180110
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;JUIZ DE FORA - MG;1;79246,46;79246,46
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;LAGOA DA PRATA - MG;1;7425;7425
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;LAGOA SANTA - MG;1;600;600
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;MARIANA - MG;1;44114,88;44114,88
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;MARTINHO CAMPOS - MG;1;19588;19588
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;MINAS NOVAS - MG;1;81609,36;81609,36
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;MONTE CARMELO - MG;1;20210,31;20210,31
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;MURIAE - MG;1;44875,48;44875,48
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;NOVA LIMA - MG;1;4000;4000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;OURO FINO - MG;1;16786,75;16786,75
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;PARACATU - MG;1;1835;1835
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;PARAGUACU - MG;1;69213,28;69213,28
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;PATOS DE MINAS - MG;1;290;290
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;PATROCINIO - MG;1;6606;6606
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;PEDRALVA - MG;1;9670;9670
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;PIRAPORA - MG;1;29387,18;29387,18
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;POUSO ALEGRE - MG;1;2032,7;2032,7
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;PRATA - MG;1;20000;20000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;RAUL SOARES - MG;1;3150;3150
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;RIBEIRAO DAS NEVES - MG;1;171176;171176
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;RIO NOVO - MG;1;4555;4555
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;SABARA - MG;1;73751,44;73751,44
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;SANTA LUZIA - MG;1;14700;14700
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;SANTA RITA DO SAPUCAI - MG;1;3560;3560
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;SANTANA DE CATAGUASES - MG;1;2000;2000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;SANTOS DUMONT - MG;1;131000;131000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;SERRO - MG;1;5200;5200
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;SETE LAGOAS - MG;1;6050;6050
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;SAO GONCALO DO RIO ABAIXO - MG;1;6850;6850
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;SAO LOURENCO - MG;1;970;970
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;TRES CORACOES - MG;1;38000;38000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;TUPACIGUARA - MG;1;20;20
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;UBERABA - MG;1;23000;23000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;UBERLANDIA - MG;1;52535,78;52535,78
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;UBA - MG;1;2500;2500
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MG;VESPASIANO - MG;1;77300,55;77300,55
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MS;CAMPO GRANDE - MS;1;3175;3175
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;MS;DOURADINA - MS;1;900;900
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PA;BELEM - PA;1;0,01;0,01
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PE;PALMARES - PE;1;93420,21;93420,21
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PE;RECIFE - PE;2;1813380,69;1813380,69
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;BELA VISTA DO PARAISO - PR;1;2300;2300
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;CAMPO MOURAO - PR;1;114591,75;114591,75
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;CASCAVEL - PR;1;77677,23;77677,23
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;CASTRO - PR;1;19300;19300
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;CENTENARIO DO SUL - PR;1;1000;1000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;CORONEL VIVIDA - PR;1;3080;3080
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;FLORESTA - PR;1;1450;1450
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;GOIOERE - PR;1;2500;2500
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;GUARAPUAVA - PR;1;160961,28;160961,28
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;IVAIPORA - PR;1;400;400
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;JACAREZINHO - PR;1;16800;16800
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;LARANJEIRAS DO SUL - PR;1;3445;3445
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;LONDRINA - PR;1;38838,67;38838,67
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;MARIALVA - PR;1;1100;1100
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;MARINGA - PR;1;254993,93;254993,93
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;NOVA ESPERANCA - PR;1;2380;2380
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;PALOTINA - PR;1;826,46;826,46
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;PARANAVAI - PR;1;18360;18360
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;PEABIRU - PR;1;10183,28;10183,28
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;PONTA GROSSA - PR;1;88770;88770
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;RIBEIRAO CLARO - PR;1;20400;20400
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;SANTA TEREZINHA DE ITAIPU - PR;1;3500;3500
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;SARANDI - PR;1;3009,3;3009,3
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;TAMBOARA - PR;1;638,32;638,32
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;TELEMACO BORBA - PR;1;19000;19000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;PR;TOLEDO - PR;1;22621,14;22621,14
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RJ;CARMO - RJ;1;2370;2370
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RJ;ITAPERUNA - RJ;1;33176,5;33176,5
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RJ;NITEROI - RJ;1;23092,32;23092,32
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RJ;NOVA FRIBURGO - RJ;1;1999,99;1999,99
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RJ;RIO DE JANEIRO - RJ;2;1396974,96;1396974,96
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RJ;SANTA MARIA MADALENA - RJ;1;1353,7;1353,7
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;ALVORADA - RS;1;21000;21000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;ANTONIO PRADO - RS;1;13800;13800
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;BENTO GONCALVES - RS;1;130168,59;130168,59
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;BOM RETIRO DO SUL - RS;1;19300,22;19300,22
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;CACHOEIRINHA - RS;1;10910,63;10910,63
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;CAMPO BOM - RS;1;125145;125145
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;CANELA - RS;1;4300;4300
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;CARLOS BARBOSA - RS;1;75428,1;75428,1
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;CAXIAS DO SUL - RS;1;299640,46;299640,46
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;ESTRELA - RS;3;44982,96;44982,96
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;FAXINAL DO SOTURNO - RS;1;3176;3176
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;GRAVATAI - RS;1;1300;1300
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;GUAPORE - RS;1;2350;2350
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;JAGUARI - RS;1;1340;1340
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;LAGOA VERMELHA - RS;1;17833,64;17833,64
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;LAJEADO - RS;1;26540,69;26540,69
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;NOVO HAMBURGO - RS;1;822209,25;822209,25
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;PANAMBI - RS;1;98560;98560
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;PASSO FUNDO - RS;1;68700;68700
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;PORTO ALEGRE - RS;1;1756675,52;1756675,52
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;RESTINGA SECA - RS;1;3000;3000
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;SANTA ROSA - RS;1;18298,57;18298,57
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;SANTO ANGELO - RS;1;24255,68;24255,68
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;SAPIRANGA - RS;1;29850,53;29850,53
2002;FUNDO CRIANCA E ADOLESC.;INCISO I, ART.12, LEI 9.250/1995 E ART 260, LEI 8.069/1991;RS;SAPUCAIA DO SUL - RS;1;99890;99890
